hrNo,hrName,birthday,sex,faHrNo,faHrName,moHrNo,moHrName,damsireNo,damsireName,src
3107830,미래아이,20230517,암,3018933,오라태양,3013996,미래사,,,API8_2
3109073,미래왕후,20240601,암,3018669,안덕최고,3013996,미래사,,,API8_2
3018657,미래제왕,20180401,거,3013695,황산벌,3100876,-,,,API8_2
3103689,미래추진,20210426,거,3009526,백두장사,3017406,트리플퀸,,,API8_2
3107871,미르왕자,20230326,거,3005652,제주명성,3011904,안덕보배,,,API8_2
3108946,미르황후,20240313,암,3005652,제주명성,3011904,안덕보배,,,API8_2
3018323,미소공원,20170211,거,3009526,백두장사,3010364,부귀,,,API8_2
3104186,미소진,20220430,암,3015223,제일용사,3013580,한백신화,,,API8_2
3104267,민강불패,20220421,거,3009526,백두장사,3015950,미리내,,,API8_2
3107488,민강의힘,20230408,거,3018896,삼다백호,3016891,측천무후,,,API8_2
3104576,바다왕자,20220510,수,3014974,터보킹,3016975,천금산,,,API8_2
3103609,바다황제,20210505,수,3014974,터보킹,3016975,천금산,,,API8_2
3107525,바다황후,20230508,암,3014974,터보킹,3016975,천금산,,,API8_2
3109377,바람오름,20240301,암,3015597,일대태수,3018556,신천백호,,,API8_2
3101660,바로고,20200313,암,3016320,청마시대,3014423,가리사니,,,API8_2
3107482,바리오름,20230313,암,3016502,선양호,3018112,달그림자,,,API8_2
3107608,발렌타인,20230410,암,3100316,-,3100378,-,,,API8_2
3107570,백금지사,20230308,암,3100327,-,3015327,한백천사,,,API8_2
3017859,백두고을,20160513,수,3009526,백두장사,3011218,노마지지,,,API8_2
3109010,백두노을,20240314,암,3009526,백두장사,3016878,노을천사,,,API8_2
3107491,백두명성,20230512,거,3018896,삼다백호,3017921,성산챔프,,,API8_2
3103934,백두비상,20210324,거,3015307,명가황제,3016946,트멍,,,API8_2
3103803,백두영웅,20210414,거,3100527,-,3100819,-,,,API8_2
3104640,백두전사,20220503,수,3100061,-,3017921,성산챔프,,,API8_2
3109002,백두전설,20240316,수,3009526,백두장사,3017290,삼다전설,,,API8_2
3109272,백두천지,20240412,수,3100316,-,3016319,송악영웅,,,API8_2
3104081,백두평정,20220103,거,3009526,백두장사,3012445,황해나루,,,API8_2
3107352,백두혈통,20230427,거,3011133,장백산,3100483,-,,,API8_2
3107912,백두히트,20230611,암,3009526,백두장사,3011999,한백평정,,,API8_2
3018884,백록군주,20190314,수,3009526,백두장사,3011797,백록현주,,,API8_2
3107607,백록챔프,20230323,암,3009526,백두장사,3011797,백록현주,,,API8_2
3103767,백록천주,20210419,암,3009526,백두장사,3016306,무한불성,,,API8_2
