hrNo,hrName,birthday,sex,faHrNo,faHrName,moHrNo,moHrName,damsireNo,damsireName,src
0056344,금빛대로,20240508,수,0044993,언캡처드,0035372,아테나선더,,,API8_2
0053526,금빛영웅,20230412,거,0038387,콩코드포인트,0040175,파이드어테어,,,API8_2
0056770,금빛올하트,20240110,암,0044420,레볼루셔너리,0032847,빛의여왕,,,API8_2
0045371,금빛천하,20200324,수,0039750,퍼지,0035921,금빛공주,,,API8_2
0056347,금빛코드,20240311,수,0038387,콩코드포인트,0038278,스캣대디즈브리즈,,,API8_2
1412350,금빛파워,20210416,거,0033566,파워블레이드,0027163,금빛물결,,,API8_2
0051675,금성보스,20220407,수,0035285,파이널보스,0036638,왓넥스트,,,API8_2
0055479,금성볼트,20240212,수,0032990,한센,0030487,대륙강자,,,API8_2
0054058,금성불패,20230510,수,0038391,카우보이칼,0038253,금성여왕,,,API8_2
0053345,금성샤이니,20230302,암,0025790,피스룰즈,0028768,리비어덕션,,,API8_2
0053862,금성축제,20230423,암,0045050,섀클포드,0026737,축제,,,API8_2
0054057,금성퀸,20230514,암,0041566,투아너앤드서브,0036638,왓넥스트,,,API8_2
0047000,금세,20210317,수,0034735,페더럴리스트,0033319,창세,,,API8_2
0060348,금아스플래시,20230425,거,6782484,ALTERNATION,6106960,BARN CAT,,,API8_2
0053641,금아온포인트,20230408,거,0045050,섀클포드,0038275,모테가,,,API8_2
0051259,금아포모스트,20220403,거,0045050,섀클포드,0032481,싱그러운봄,,,API8_2
0046804,금악명장,20210314,거,0034735,페더럴리스트,0018607,패스트페어,,,API8_2
0061535,금은동,20240213,암,7004967,OLYMPIAD,7109885,DARKWINGSOVERDUBAI,,,API8_2
0053849,금적산,20230314,암,0038387,콩코드포인트,0036325,로쿠,,,API8_2
0055525,급행열차,20220312,암,6969089,UNION RAGS,6150860,FORMALITY,,,API8_2
0055712,깡다구,20240305,수,0032224,돌아온현표,0041034,루이사,,,API8_2
0062074,꿈의연속,20240315,수,7008530,TALE OF SILENCE,6127794,LEMON DROP BELLE,,,API8_2
0052425,나노마신,20210429,거,6103967,GOLDENCENTS,6113176,ABOUNDING LOVE,,,API8_2
0047413,나라올라,20210507,수,0045082,오버애널라이즈,0036642,리마커블스토리,,,API8_2
0058224,나로마스타,20230323,수,6114893,AMERICAN PATRIOT,7169410,LUNA DELLA SERA,,,API8_2
0056460,나루파크,20240410,암,0032990,한센,0052717,프라이즈포트레잇,,,API8_2
0062626,나르샤고트,20240211,수,6149805,HIGHLY MOTIVATED,7022263,CASA DE GOAT,,,API8_2
0062951,나르샤글로리,20240503,수,6112213,UPSTART,6150904,SEQUIN,,,API8_2
0053406,나르샤노바,20230323,암,0044993,언캡처드,0029990,동방의새아침,,,API8_2
0062616,나르샤럭키,20240224,암,6119755,AUDIBLE,6150874,LOOKINTOGETLUCKY,,,API8_2
0057220,나르샤루나,20240322,암,0036732,머스킷맨,0024651,명서돌풍,,,API8_2
0055280,나르샤루시,20240223,암,0032990,한센,0038307,슈룹,,,API8_2
0055401,나르샤볼트,20240210,수,0032994,다이나믹대시,0035369,다이나믹볼트,,,API8_2
0055741,나르샤빅터,20240305,수,6969075,지몰로지스트,0036651,스위트케이트,,,API8_2
0055501,나르샤스톰,20240320,수,0038245,미스치비어슬리,0020854,버니스,,,API8_2
0055398,나르샤피네,20240305,암,0038025,아임유어파더,0029325,라피네,,,API8_2
0056388,나비드,20220409,거,6149559,MR. MONEY,7033899,FASHION BEE,,,API8_2
0056404,나소챗,20220201,거,6149540,HONOR A. P.,7017452,WICKED STORM,,,API8_2
